time_pst,p_co2_in_water_ppm,water_level_m_navd88,temp_deg_c,windspeed_avg_m_s,doy,month,hour,white_noise
2023-09-04T03:00:00Z,598.9355,2.0121334,12.1036,0.342,247,9,3,-0.6349680635683097
2023-09-04T06:00:00Z,365.78485,0.7536034000000003,13.1489,0.389,247,9,6,1.444393164882725
2023-09-05T09:00:00Z,469.65085,-0.1405365999999999,12.5952,0.496,248,9,9,-0.2810807416909529
2023-09-05T12:00:00Z,804.91724,0.37282340000000014,11.3258,1.747,248,9,12,0.22710250606822355
2023-09-05T15:00:00Z,908.9041,1.3689434000000005,10.8917,1.138,248,9,15,1.0708984872078897
2023-09-05T18:00:00Z,306.73798,1.5090534000000004,13.3603,0.679,248,9,18,-0.48701289302040734
2023-09-05T21:00:00Z,259.77844,1.2957834000000004,14.2006,2,248,9,21,0.9551740241254376
2023-09-06T00:00:00Z,713.5391,1.7425234000000005,11.6428,1.041,249,9,0,-1.8717035757447094
2023-09-06T03:00:00Z,281.8819,2.0762534000000006,13.3907,0.625,249,9,3,0.7673730646714841
2023-09-06T06:00:00Z,355.92413,1.3012634000000003,12.7397,1.413,249,9,6,-0.36182820860798537
2023-09-06T09:00:00Z,631.97345,-0.00190659999999986,11.9276,0.016,249,9,9,-1.4517555647561555
2023-09-06T12:00:00Z,752.3491,0.01088340000000043,11.4899,1.247,249,9,12,-2.153277876440234
2023-09-06T15:00:00Z,920.33,1.0340134,10.8139,0.688,249,9,15,-2.554886422877409
2023-09-06T18:00:00Z,888.36383,1.6554434000000002,10.8057,3.761,249,9,18,0.39569515543645056
2023-09-06T21:00:00Z,263.95624,1.6584234000000002,13.6153,3.976,249,9,21,-0.29089470995194017
2023-09-07T00:00:00Z,389.08566,1.7446434000000002,12.8736,1.382,250,9,0,-0.16291511528771457
2023-09-07T03:00:00Z,541.9229,1.9736534000000003,11.6209,0.289,250,9,3,0.1758054330355915
2023-09-07T06:00:00Z,500.8929,1.4743434000000004,12.3815,1.321,250,9,6,-1.8818803510048137
2023-09-07T09:00:00Z,609.2068,0.2944534000000001,12.1009,0.814,250,9,9,-1.3274021427051765
2023-09-07T12:00:00Z,682.3897,-0.22862659999999968,11.9327,0.971,250,9,12,-0.3777934612304989
2023-09-07T15:00:00Z,861.8134,0.5733434000000002,11.1555,0.745,250,9,15,0.7813541999457463
2023-09-07T18:00:00Z,829.14026,1.5611934,11.1562,1.921,250,9,18,0.9891356117912766
2023-09-07T21:00:00Z,282.1036,1.8454334000000003,13.7488,1.659,250,9,21,-0.07687813499113962
2023-09-08T00:00:00Z,273.25827,1.7330334000000005,13.9433,1.827,251,9,0,2.0733221084573747
2023-09-08T03:00:00Z,377.73706,1.8167334,13.0392,0.715,251,9,3,-0.721108911790237
2023-09-08T06:00:00Z,325.42844,1.5474234000000004,13.273,0.154,251,9,6,-1.1686395310206958
2023-09-08T09:00:00Z,523.0341,0.6517334000000004,12.2124,1.401,251,9,9,-1.20621089550745
2023-09-08T12:00:00Z,725.0582,-0.20463659999999972,11.8266,0,251,9,12,0.14324314744766548
2023-09-08T15:00:00Z,882.733,0.18839340000000027,11.1429,0.241,251,9,15,-2.3442964627252625
2023-09-08T18:00:00Z,862.9862,1.2935034,11.0368,2.291,251,9,18,0.5641287891438592
2023-09-08T21:00:00Z,787.1779,1.8850534000000003,11.4038,3.135,251,9,21,-1.57398420045212
2023-09-09T00:00:00Z,236.06569,1.7395234000000002,13.8235,2.446,252,9,0,1.2538802192548522
2023-09-09T03:00:00Z,295.3614,1.7113834000000003,13.0893,0.185,252,9,3,-0.46618896877361454
2023-09-09T06:00:00Z,345.57947,1.6152334000000002,12.8484,0.2,252,9,6,1.2087030446250713
2023-09-09T09:00:00Z,473.65417,0.9887234000000004,12.2162,0,252,9,9,0.6463412219283878
2023-09-09T12:00:00Z,694.50696,-0.0374165999999998,11.7227,1.116,252,9,12,-0.023387641346476435
2023-09-09T15:00:00Z,568.3026,-0.10915659999999994,11.9341,0.053,252,9,15,0.49067784312246676
2023-09-09T18:00:00Z,802.32465,0.9253034000000002,11.2157,1.534,252,9,18,-0.36917715326539335
2023-09-09T21:00:00Z,675.63873,1.8066534000000003,11.7005,1.888,252,9,21,-1.3532656311915803
2023-09-10T00:00:00Z,223.25536,1.8562134000000003,14.1575,0.712,253,9,0,1.505143006953314
2023-09-10T03:00:00Z,315.71848,1.6229634000000002,13.6252,1.169,253,9,3,-0.16301205567246735
2023-09-10T06:00:00Z,375.3393,1.6544434000000003,13.0874,1.217,253,9,6,-0.5233180680518996
2023-09-10T09:00:00Z,414.1876,1.2945934,12.9827,0,253,9,9,-0.7014834188316796
2023-09-10T12:00:00Z,582.87634,0.32228340000000033,12.2554,0.066,253,9,12,-1.529732349605627
2023-09-10T15:00:00Z,393.17776,-0.2114665999999996,12.2924,1.126,253,9,15,1.3605172687443472
2023-09-10T18:00:00Z,756.0482,0.6175434000000002,11.4262,2.265,253,9,18,-0.711321078440245
2023-09-10T21:00:00Z,746.1407,1.7455634000000002,11.5849,0.29,253,9,21,0.8499527996637012
2023-09-11T00:00:00Z,208.94086,1.9452534000000004,14.2878,1.522,254,9,0,-0.1936859270672232
2023-09-11T03:00:00Z,269.69656,1.5687834000000005,13.4468,1.292,254,9,3,-1.2934941735040935
